iter,emin,light,heavy,frac_l,frac_h
100,4.0,[801.1215],[744.1682],[0.24951923],[0.28301282]
100,8.0,[786.8832],[744.1682],[0.30928807],[0.31824611]
100,16.0,[786.8832],[729.9299],[0.2160149],[0.30540037]
100,32.0,[772.64484],[715.6915],[0.11428571],[0.42857143]
101,4.0,[822.1838],[734.9396],[0.14680091],[0.20477428]
101,8.0,[807.64307],[749.4803],[0.1750117],[0.40149743]
101,16.0,[807.64307],[764.021],[0.15520282],[0.5696649]
101,32.0,[793.1024],[705.8582],[0.09836066],[0.21311475]
102,4.0,[801.5497],[738.9368],[0.24666667],[0.23460317]
102,8.0,[785.8965],[738.9368],[0.30457831],[0.28385542]
102,16.0,[785.8965],[738.9368],[0.23809524],[0.38461538]
102,32.0,[754.59],[738.9368],[0.2962963],[0.5462963]
103,4.0,[821.13794],[734.40204],[0.1510008],[0.19663731]
103,8.0,[806.68195],[734.40204],[0.1592233],[0.23883495]
103,16.0,[777.76996],[734.40204],[0.28779599],[0.34608379]
103,32.0,[763.31396],[734.40204],[0.24305556],[0.50694444]
104,4.0,[816.279],[742.45715],[0.17067583],[0.26820488]
104,8.0,[786.75024],[742.45715],[0.28447862],[0.33253244]
104,16.0,[771.9859],[742.45715],[0.30612245],[0.3877551]
104,32.0,[786.75024],[757.2215],[0.1557377],[0.63934426]
105,4.0,[796.834],[751.2123],[0.28517915],[0.33876221]
105,8.0,[781.6268],[736.00507],[0.32930794],[0.2642824]
105,16.0,[766.41956],[736.00507],[0.36893204],[0.37087379]
105,32.0,[766.41956],[720.7978],[0.19852941],[0.38235294]
106,4.0,[822.81024],[734.3529],[0.1436837],[0.20266795]
